DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
BT;307207;ESC.PART.;A HEBRAICA;A HEBRAICA;;BUTANTA;PINHEIROS;RUA HUNGRIA;1000;JARDIM EUROPA;1455000;38188938;;;Ativa;62;PINHEIROS;6204;35814131;35814131;;18 M A 5 A;06/02/2010;3;01/02/2010;;06/fev/10;;;;-23578930;-46694078;31/12/2022
BT;307412;ESC.PART.;ABCD SOFIA;ABCD SOFIA;;BUTANTA;BUTANTA;RUA OTÁVIO PEDREIRO ROSA;212;JARDIM ESTER;5372000;37824979;;;Ativa;67;RIO PEQUENO;6703;35446245;35446245;;;12/11/2010;62;10/11/2010;;12/nov/10;;;;-23583388;-46760545;31/12/2022
BT;307131;ESC.PART.;ACONCHEGO, ESCOLA;ACONCHEGO, ESCOLA;;BUTANTA;BUTANTA;RUA QUITANDUBA;50;CAXINGUI;5516030;37223301;;;Ativa;12;BUTANTA;1203;35434700;35434700;;ZERO A 6 A ;26/08/2009;85;21/08/2009;;;;;;-23583061;-46715523;31/12/2022
BT;400003;CEI DIRET;ALOYSIO DE MENEZES GREENHALGH, VER.;ALOYSIO DE MENEZES GREENHALGH, VER.;;BUTANTA;BUTANTA;RUA DOUTOR FRANCISCO PATI;375;CIDADE SAO FRANCISCO;5352090;37685894;;;Ativa;67;RIO PEQUENO;6701;35238545;35238545;1,621E+14;0 A 3 ANOS;16/10/1987;24.765;16/10/1987;;22/mai/07;;VILA SAO FRANCISCO;;-23557659;-46759414;31/12/2022
BT;92754;EMEF;ALCIDES GONCALVES ETCHEGOYEN, GEN.;ALCIDES GONCALVES ETCHEGOYEN, GEN.;;BUTANTA;BUTANTA;RUA ADHERBAL STRESSER;686;JARDIM ARPOADOR;5566000;37821862;37829744;;Ativa;65;RAPOSO TAVARES;6505;35053173;35053173;1,621E+14;;20/02/1971;9.332;16/02/1971;;10/abr/81;;ARPOADOR;;-23594749;-46791369;31/12/2022
BT;309420;CR.P.CONV;ALECRIM;ALECRIM;;BUTANTA;BUTANTA;RUA FRANCISCO LEITE ESQUERDO;347;JARDIM CELESTE;5528040;37513689;;;Ativa;94;VILA SONIA;9401;35006655;35006655;;;02/08/2019;6,0162E+15;02/08/2019;;16/out/21;;;;-23595442;-46754766;31/12/2022
BT;308408;CR.P.CONV;ALEGRIA DE APRENDER;ALEGRIA DE APRENDER;;BUTANTA;BUTANTA;RUA BALTASAR SAMPER;205;PARQUE IPÊ;5571040;25895528;;;Ativa;65;RAPOSO TAVARES;6505;35578836;35578836;;;25/07/2015;2,01502E+11;25/07/2015;;08/fev/22;;;;-23591615;-46798076;31/12/2022
BT;309267;CR.P.CONV;ALEGRIA DO SABER;ALEGRIA DO SABER;;BUTANTA;BUTANTA;RUA PANÔNIA;257;JARDIM COLOMBO;5629010;37423432;;;Ativa;94;VILA SONIA;9403;35005880;35005880;;;04/10/2018;6,0162E+15;04/10/2018;;;;;;-23603518;-46729406;31/12/2022
BT;309547;CR.P.CONV;ALEGRIA DO SABER II;ALEGRIA DO SABER II;;BUTANTA;BUTANTA;RUA PANÔNIA;154;JARDIM COLOMBO;5629010;37440198;;;Ativa;94;VILA SONIA;9403;35006897;35006897;;;29/08/2019;6,0162E+15;29/11/2019;;17/fev/22;;;;-23602954;-46728583;31/12/2022
BT;309765;CR.P.CONV;ALEGRIA DO SABER III;ALEGRIA DO SABER III;;BUTANTA;BUTANTA;RUA PANÔNIA;410;JARDIM COLOMBO;5629010;;;;Ativa;94;VILA SONIA;9403;35008304;35008304;;;04/10/2021;1132021;04/10/2021;;07/set/22;;;;-23603870;-46730945;31/12/2022
